# x,f(x)
1,4.92E+03
2,3.54E+03
3,6.35E+03
4,6.59E+03
5,7.21E+03
6,5.31E+03
7,6.48E+03
8,3.95E+03
9,5.62E+03
10,6.14E+03
11,4.97E+03
12,7.62E+03
13,3.72E+03
14,6.48E+03
15,7.37E+03
16,6.15E+03
17,5.48E+03
18,7.26E+03
19,4.13E+03
20,5.93E+03
21,5.86E+03
22,4.77E+03
23,6.75E+03
24,6.41E+03
25,5.97E+03
26,6.78E+03
27,6.69E+03
28,4.85E+03
29,7.57E+03
30,6.15E+03
31,5.82E+03
32,5.79E+03
33,5.56E+03
34,9.56E+03
35,8.44E+03
36,7.05E+03
37,6.03E+03
38,5.51E+03
39,4.38E+03
40,8.46E+03
41,6.02E+03
42,4.69E+03
43,5.27E+03
44,3.57E+03
45,6.50E+03
46,7.73E+03
47,6.86E+03
48,4.48E+03
49,4.92E+03
50,4.45E+03
51,6.72E+03
52,5.75E+03
53,5.17E+03
54,6.09E+03
55,6.89E+03
56,7.28E+03
57,7.00E+03
58,6.26E+03
59,4.90E+03
60,4.68E+03
61,6.91E+03
62,6.74E+03
63,6.74E+03
64,5.68E+03
65,5.43E+03
66,3.81E+03
67,4.05E+03
68,4.41E+03
69,5.44E+03
70,6.10E+03
71,5.44E+03
72,6.29E+03
73,4.58E+03
74,5.34E+03
75,4.72E+03
76,5.03E+03
77,5.66E+03
78,4.93E+03
79,4.60E+03
80,3.43E+03
81,4.15E+03
82,3.49E+03
83,5.22E+03
84,4.79E+03
85,4.88E+03
86,4.20E+03
87,3.00E+03
88,3.48E+03
89,3.59E+03
90,4.35E+03
91,4.44E+03
92,3.91E+03
93,3.89E+03
94,2.77E+03
95,3.15E+03
96,2.89E+03
97,3.23E+03
98,3.38E+03
99,3.46E+03
100,3.46E+03
101,2.49E+03
102,2.76E+03
103,3.33E+03
104,2.96E+03
105,2.97E+03
106,2.25E+03
107,2.71E+03
108,2.41E+03
109,2.08E+03
110,2.11E+03
111,2.44E+03
112,2.41E+03
113,1.86E+03
114,2.00E+03
115,1.31E+03
116,1.56E+03
117,1.94E+03
118,1.91E+03
119,1.98E+03
120,1.61E+03
121,1.12E+03
122,1.43E+03
123,1.38E+03
124,1.35E+03
125,1.52E+03
126,1.43E+03
127,1.05E+03
128,1.22E+03
129,8.52E+02
130,8.35E+02
131,9.70E+02
132,1.24E+03
133,1.09E+03
134,1.04E+03
135,7.29E+02
136,5.11E+02
137,7.64E+02
138,6.22E+02
139,5.78E+02
140,4.50E+02
141,4.48E+02
142,3.85E+02
143,3.53E+02
144,4.42E+02
145,3.75E+02
146,4.03E+02
147,2.60E+02
148,3.96E+02
149,3.46E+02
150,2.96E+02
151,2.53E+02
152,2.02E+02
153,1.78E+02
154,1.32E+02
155,1.63E+02
156,1.21E+02
157,1.01E+02
158,1.45E+02
159,1.31E+02
160,1.32E+02
161,1.10E+02
162,7.00E+01
163,3.80E+01
164,5.10E+01
165,6.50E+01
166,4.80E+01
167,3.90E+01
168,4.60E+01
169,2.50E+01
170,1.10E+01
171,2.90E+01
172,1.20E+01
173,1.50E+01
174,1.00E+01
175,5.00E+00
176,4.00E+00
177,2.00E+00
178,1.00E+00
179,2.00E+00
180,2.00E+00
